1	ягизм, мир развития
2	тело, смелость
3	события
4	0-96 лет
5	тело, безупречность
6	царства
7	тело, честность
8	судьба общая
9	тело
10	обережество
11	стихії природы
12	тело
13	царство богов
14	стихія земли
15	48-72 ремесло
16	царство духов
17	0-24 обучение
18	царство людей
19	стихія воздуха ветра
20	72-95 управление
21	стихія огня
22	24-48 кровипродление
23	царство жизни
24	стихія воды
25	явный мир, стихии и судьбы  времяциклы всей жизни
26	направление
27	место
28	место
29	направление
30	место
31	место
32	направление
33	место
34	место
35	направление
36	смелость
37	честность
38	безупречность
39	скромность
40
41	ответственность
42	чара
43	чара
44	чара
45	чара
46	чара
47	чара
48	чара
49	чара
50	чара
51	память эмоций
52	дасть от обожания
53	дасть от красоты
54	дасть от познания
55	дасть от открытия
56	дасть от достижения
57	дасть от любви
58	дасть от озарения
59	дасть от вспоминания
60	сезон года
61	сезон года
62	сезон года
63	сезон года
64	месяц года
65	месяц года
66	месяц года
67	месяц года
68	месяц года
69	месяц года
70	месяц года
71	месяц года
72	месяц года
73	месяц года
74	месяц года
75	месяц года
76
77	дедукция
78	индукция
79	интеграция
80	синтез
81	дифференциация
82	анализ
83	экстраполяция
84	языкознание
85	налаживание
86	упорядочение
87	органогенез
88	приспосабливаемость
89	рачительность
90	разносторонность
91	вразумление
92	самопознание
93	сотрудничество, семля и луна
94	открытость
95	преемственность
96	терпимость
97	соизмеримость
98	соответствие
99	уважение
100	солнцесистема
101	соверщенствование
102	творчество
103	безсмертие
104	созидание
105	ближайшие к солнечной системе звёзды
106	реинкарнация
107	общеблаго
108	галактика
