1	праводасть
2	лелядасть
3	троядасть, трудность
4	яводасть
5	радедасть
6	славодасть
7	желядасть
8	костродасть
9	семадасть
10	бередасть
11	наводасть
12	танядасть
13	перодасть
14	магодасть
15	свентодасть
16	мародасть
17	хородасть, гордасть
18	ладодасть
19	стрибодасть
20	веедасть
21	яродасть, ярость
22	велодасть
23	рододасть
24	каподасть
25	радасть
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40	дивдасть
41
42
43
44
45
46
47
48
49
50
51	дадасть
52	от обожания
53	от красоты
54	от познания
55	от открытия
56	от достижения
57	от любви
58	от озарения
59	от вспоминания, просветление
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76	свардасть
77
78
79
80
81
82
83
84	пандасть, бордасть
85
86
87
88
89
90
91
92
93	сестдасть
94
95
96
97
98
99
100	семдасть
101
102
103
104
105	вестдасть
106
107
108	гордасть
